title,categoryName,city,totalScore,reviewsCount
Wisata Budaya Pampang,Tujuan Wisata,Kota Samarinda,4.6,1953.0
Mahkota Pemancingan & Resto,Restoran,Kota Samarinda,4.5,1798.0
Samarinda Theme Park,Tujuan Wisata,Kota Samarinda,4.7,1141.0
STI Vihāra Muladharma Samarinda,Tujuan Wisata,Kota Samarinda,4.8,143.0
Wisata tebing lonceng,Tujuan Wisata,Kota Samarinda,4.4,338.0
Taman Budaya Samarinda,Tujuan Wisata,Kota Samarinda,4.5,786.0
Puncak Steling,Tujuan Wisata,Kota Samarinda,4.5,192.0
Taman Samarendah,Tujuan Wisata,Kota Samarinda,4.4,8561.0
Puncak Suryanata,Tujuan Wisata,Kota Samarinda,4.4,240.0
Museum Kota Samarinda,Tujuan Wisata,Kota Samarinda,4.3,238.0
Bukit Steling Selili Samarinda,Area Rekreasi Alam,Kota Samarinda,4.4,297.0
Teluk Lerong Garden.,Tujuan Wisata,Kota Samarinda,4.1,1146.0
Bukit Selili,Tujuan Wisata,Kota Samarinda,4.6,280.0
BOUGENVILLE 118 Syariah,Pondok,Kota Samarinda,4.5,155.0
Stadion Utama Kaltim,Stadion,Kota Samarinda,4.0,1283.0
Indomaret Soekarno Hatta,Minimarket,Kota Samarinda,4.0,208.0
Jessica Water Park,Tujuan Wisata,Kota Samarinda,4.4,1065.0
"HAVEN Coffee, Eatery & Music",Tempat acara,Kota Samarinda,4.9,1554.0
Mentimun Restoran Indonesia,Tempat acara,Kota Samarinda,4.7,231.0
CHAO SHAN,Kedai Kopi,Kota Samarinda,4.8,598.0
satukata coffee co.,Kedai Kopi,Kota Samarinda,4.4,551.0
Starbucks Coffee Bigmall,Kedai Kopi,Kota Samarinda,4.5,1270.0
Lipan Hill Resto Samarinda,Kedai Kopi,Kota Samarinda,4.2,398.0
Republik Coffee Samarinda,Kafe,Kota Samarinda,4.4,164.0
Puncak Dabo,Kafe,Kota Samarinda,4.4,256.0
MOEARA Eatery and Hub,Restoran,Kota Samarinda,4.2,472.0
Kopi Kenangan - Ruko Juanda Samarinda,Kedai Kopi,Kota Samarinda,4.4,139.0
NEW KEPALA IKAN (Samarinda),Restoran ikan,Kota Samarinda,4.4,2154.0
BIGmall Samarinda,Hotel,Kota Samarinda,4.5,13134.0
Kalijaga Coffe & Bar,Kedai Kopi,Kota Samarinda,4.6,304.0
Masjid Baitul Muttaqien - Islamic Center Samarinda,Masjid,Kota Samarinda,4.8,4984.0
"Fore Coffee - Big Mall, Samarinda",Kedai Kopi,Kota Samarinda,4.2,238.0
Firepot Resto,Restoran,Kota Samarinda,4.8,161.0
El Barilto Resto & Cafe,Restoran,Kota Samarinda,4.5,1814.0
Bubur Ayam Budi Banten Samarinda,Restoran Bubur,Kota Samarinda,4.5,753.0
Teras Samarinda,Tujuan Wisata,Kota Samarinda,4.6,488.0
Vlorry Coffee,Kafe,Kota Samarinda,4.4,624.0
PLAYPOOL BILLIARD & LOUNGE,Tempat Biliar,Kota Samarinda,4.6,328.0
Excelso Juanda Samarinda,Kedai Kopi,Kota Samarinda,4.5,431.0
ALAYA FOOD FESTIVAL,Restoran,Kota Samarinda,4.3,1845.0
